2021-12-07 21:20:43 - INFO - saving to ./results/2021-12-07_21-20-43
2021-12-07 21:20:43 - DEBUG - run arguments: Namespace(batch_size=128, dataset='cifar10', epochs=250, evaluate=None, gpus='0', input_size=None, lr=0.1, model='resnet_binary', model_config='', momentum=0.9, optimizer='SGD', print_freq=10, results_dir='./results', resume='', save='2021-12-07_21-20-43', start_epoch=0, type='torch.cuda.FloatTensor', weight_decay=0.0001, workers=8)
2021-12-07 21:20:43 - INFO - creating model fake generator (student)
2021-12-07 21:20:43 - INFO - creating model real generator (student)
2021-12-07 21:20:44 - INFO - number of parameters: 17176478
2021-12-07 21:20:48 - INFO - TRAINING - Epoch: [0][0/391]	Time 2.605 (2.605)	Data 0.175 (0.175)	Loss 2.6687 (2.6687)	Prec@1 10.938 (10.938)	Prec@5 53.906 (53.906)
2021-12-07 21:20:51 - INFO - TRAINING - Epoch: [0][10/391]	Time 0.370 (0.557)	Data 0.000 (0.016)	Loss 2.5537 (2.6405)	Prec@1 8.594 (10.724)	Prec@5 49.219 (50.923)
2021-12-07 21:20:55 - INFO - TRAINING - Epoch: [0][20/391]	Time 0.364 (0.466)	Data 0.000 (0.008)	Loss 2.3153 (2.5193)	Prec@1 8.594 (10.528)	Prec@5 54.688 (51.153)
2021-12-07 21:20:58 - INFO - TRAINING - Epoch: [0][30/391]	Time 0.367 (0.434)	Data 0.000 (0.006)	Loss 2.3066 (2.4523)	Prec@1 11.719 (10.282)	Prec@5 49.219 (50.756)
2021-12-07 21:21:02 - INFO - TRAINING - Epoch: [0][40/391]	Time 0.365 (0.418)	Data 0.000 (0.004)	Loss 2.3163 (2.4180)	Prec@1 9.375 (9.756)	Prec@5 49.219 (50.514)
2021-12-07 21:21:06 - INFO - TRAINING - Epoch: [0][50/391]	Time 0.368 (0.408)	Data 0.000 (0.003)	Loss 2.3093 (2.3967)	Prec@1 10.938 (9.758)	Prec@5 49.219 (50.138)
2021-12-07 21:21:09 - INFO - TRAINING - Epoch: [0][60/391]	Time 0.365 (0.401)	Data 0.000 (0.003)	Loss 2.3169 (2.3814)	Prec@1 8.594 (9.964)	Prec@5 39.844 (50.282)
2021-12-07 21:21:13 - INFO - TRAINING - Epoch: [0][70/391]	Time 0.366 (0.396)	Data 0.000 (0.003)	Loss 2.3125 (2.3702)	Prec@1 7.031 (10.002)	Prec@5 50.000 (50.451)
2021-12-07 21:21:17 - INFO - TRAINING - Epoch: [0][80/391]	Time 0.365 (0.392)	Data 0.000 (0.002)	Loss 2.2999 (2.3623)	Prec@1 13.281 (10.204)	Prec@5 53.906 (50.338)
2021-12-07 21:21:21 - INFO - TRAINING - Epoch: [0][90/391]	Time 0.391 (0.391)	Data 0.000 (0.002)	Loss 2.3056 (2.3555)	Prec@1 8.594 (10.276)	Prec@5 52.344 (50.704)
2021-12-07 21:21:24 - INFO - TRAINING - Epoch: [0][100/391]	Time 0.371 (0.389)	Data 0.000 (0.002)	Loss 2.3080 (2.3506)	Prec@1 7.812 (10.234)	Prec@5 47.656 (50.688)
2021-12-07 21:21:28 - INFO - TRAINING - Epoch: [0][110/391]	Time 0.374 (0.388)	Data 0.000 (0.002)	Loss 2.3100 (2.3464)	Prec@1 6.250 (10.276)	Prec@5 46.094 (50.640)
2021-12-07 21:21:32 - INFO - TRAINING - Epoch: [0][120/391]	Time 0.368 (0.386)	Data 0.000 (0.002)	Loss 2.2975 (2.3429)	Prec@1 10.156 (10.221)	Prec@5 60.156 (50.710)
2021-12-07 21:21:35 - INFO - TRAINING - Epoch: [0][130/391]	Time 0.371 (0.385)	Data 0.000 (0.001)	Loss 2.3047 (2.3396)	Prec@1 11.719 (10.287)	Prec@5 48.438 (50.745)
2021-12-07 21:21:39 - INFO - TRAINING - Epoch: [0][140/391]	Time 0.370 (0.385)	Data 0.000 (0.001)	Loss 2.2764 (2.3367)	Prec@1 17.969 (10.400)	Prec@5 53.906 (50.748)
2021-12-07 21:21:43 - INFO - TRAINING - Epoch: [0][150/391]	Time 0.370 (0.384)	Data 0.000 (0.001)	Loss 2.2812 (2.3336)	Prec@1 14.062 (10.570)	Prec@5 51.562 (50.973)
2021-12-07 21:21:47 - INFO - TRAINING - Epoch: [0][160/391]	Time 0.374 (0.383)	Data 0.000 (0.001)	Loss 2.3240 (2.3314)	Prec@1 8.594 (10.549)	Prec@5 41.406 (51.077)
