2021-12-07 21:32:53 - INFO - saving to ./results/2021-12-07_21-32-53
2021-12-07 21:32:53 - DEBUG - run arguments: Namespace(batch_size=128, dataset='cifar10', epochs=250, evaluate=None, gpus='0', input_size=None, lr=0.1, model='resnet_binary', model_config='', momentum=0.9, optimizer='SGD', print_freq=10, results_dir='./results', resume='', save='2021-12-07_21-32-53', start_epoch=0, type='torch.cuda.FloatTensor', weight_decay=0.0001, workers=8)
2021-12-07 21:32:53 - INFO - creating model fake generator (student)
2021-12-07 21:32:53 - INFO - creating model real generator (student)
2021-12-07 21:32:54 - INFO - number of parameters: 20798602
2021-12-07 21:32:58 - INFO - TRAINING - Epoch: [0][0/391]	Time 2.654 (2.654)	Data 0.175 (0.175)	Loss 2.3663 (2.3663)	Prec@1 10.938 (10.938)	Prec@5 49.219 (49.219)
2021-12-07 21:33:01 - INFO - TRAINING - Epoch: [0][10/391]	Time 0.308 (0.508)	Data 0.000 (0.016)	Loss 2.3993 (2.3865)	Prec@1 10.156 (11.009)	Prec@5 53.906 (51.420)
2021-12-07 21:33:04 - INFO - TRAINING - Epoch: [0][20/391]	Time 0.309 (0.414)	Data 0.000 (0.008)	Loss 2.5123 (2.4621)	Prec@1 10.156 (10.082)	Prec@5 55.469 (51.711)
2021-12-07 21:33:07 - INFO - TRAINING - Epoch: [0][30/391]	Time 0.310 (0.380)	Data 0.000 (0.006)	Loss 2.6306 (2.5281)	Prec@1 13.281 (10.459)	Prec@5 59.375 (52.041)
2021-12-07 21:33:10 - INFO - TRAINING - Epoch: [0][40/391]	Time 0.312 (0.363)	Data 0.000 (0.004)	Loss 2.7278 (2.5709)	Prec@1 14.062 (10.880)	Prec@5 58.594 (52.744)
2021-12-07 21:33:13 - INFO - TRAINING - Epoch: [0][50/391]	Time 0.312 (0.353)	Data 0.000 (0.004)	Loss 2.5829 (2.5840)	Prec@1 11.719 (11.734)	Prec@5 64.062 (54.381)
2021-12-07 21:33:16 - INFO - TRAINING - Epoch: [0][60/391]	Time 0.311 (0.346)	Data 0.000 (0.003)	Loss 2.7395 (2.5943)	Prec@1 17.969 (12.359)	Prec@5 59.375 (55.661)
2021-12-07 21:33:19 - INFO - TRAINING - Epoch: [0][70/391]	Time 0.311 (0.341)	Data 0.000 (0.003)	Loss 2.6088 (2.6016)	Prec@1 17.188 (12.753)	Prec@5 62.500 (56.701)
2021-12-07 21:33:22 - INFO - TRAINING - Epoch: [0][80/391]	Time 0.310 (0.337)	Data 0.000 (0.002)	Loss 2.6369 (2.6136)	Prec@1 13.281 (12.963)	Prec@5 61.719 (57.446)
2021-12-07 21:33:25 - INFO - TRAINING - Epoch: [0][90/391]	Time 0.311 (0.334)	Data 0.000 (0.002)	Loss 2.6790 (2.6117)	Prec@1 14.844 (13.359)	Prec@5 65.625 (58.242)
2021-12-07 21:33:29 - INFO - TRAINING - Epoch: [0][100/391]	Time 0.314 (0.332)	Data 0.000 (0.002)	Loss 2.8293 (2.6157)	Prec@1 11.719 (13.475)	Prec@5 59.375 (59.151)
2021-12-07 21:33:32 - INFO - TRAINING - Epoch: [0][110/391]	Time 0.312 (0.330)	Data 0.000 (0.002)	Loss 2.8312 (2.6223)	Prec@1 10.156 (13.633)	Prec@5 60.156 (59.466)
